model,accuracy,precision,recall,f1,roc_auc,pr_auc
Majority class,0.7606715119254785,0.0,0.0,0.0,0.5,0.23932848807452145
Education-num >= 13,0.7529941652165012,0.484368486869529,0.49700598802395207,0.4906058686932658,0.6652705892212346,0.3611148347810222
